# Simulation Data for Tool Calibration
Ref ToolPose: [ 400.00 , 0.00 , 300.00 ] 
Ref ToolData: [ 31.79 , 0.00 , 229.64 ] 
x	y	z	q0	q1	q2	q3
230.3234	-0.0000	457.9705	0.4612	0.0000	0.8873	0.0000
230.3235	99.7031	422.5316	0.4346	-0.1545	0.8361	-0.2972
293.8016	99.7031	480.3497	0.2538	-0.2121	0.9074	-0.2592
345.6576	99.7031	502.1163	0.1296	-0.2450	0.9333	-0.2283
413.7071	-48.5123	526.2819	0.0570	-0.1720	0.9760	0.1210
413.7071	-177.3491	448.6749	0.1098	-0.1441	0.8837	0.4316
342.8630	-206.7650	387.9114	0.3474	-0.2003	0.7749	0.4886
302.3343	-206.7650	338.1373	0.5679	-0.3402	0.6314	0.4038
204.9768	-68.9654	404.6639	0.5333	-0.5616	0.6152	-0.1473
413.9831	4.1997	531.3691	0.0364	-0.1735	0.9841	0.0083
